current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(0, 1)",-1,-26.47158630564809,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-101.88634522259235,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-7.545380890369415,"(0, 2)",Move accepted
"(0, 2)","(0, -1)",-1,-26.18152356147766,"(0, 1)",Move accepted
"(0, 1)","(-1, 0)",-100,-100.72609424591064,"(0, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 1)","(0, 1)",-1,-2.904376983642578,"(0, 2)",Move accepted
"(0, 2)","(1, 0)",-1,-7.6175079345703125,"(1, 2)",Move accepted
"(1, 2)","(-1, 0)",-1,-26.47003173828125,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-101.880126953125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-7.5205078125,"(1, 2)",Move accepted
"(1, 2)","(-1, 0)",-1,-26.08203125,"(0, 2)",Move accepted
"(0, 2)","(-1, 0)",-100,-100.328125,"(0, 2)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 2)","(1, 0)",-1,-1.3125,"(1, 2)",Move accepted
"(1, 2)","(-1, 0)",-1,-1.25,"(0, 2)",Move accepted
"(0, 2)","(1, 0)",-1,-1,"(1, 2)",Move accepted
