current_state,action,reward,"q(s, a)",next_state,additional_observation
"(0, 0)","(-1, 0)",-100,-127.1439150609076,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(0, -1)",-100,-108.57566024363041,"(0, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(0, 0)","(1, 0)",-1,-34.30264097452164,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-133.21056389808655,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-132.8422555923462,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-131.36902236938477,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, -1)",-100,-125.47608947753906,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(0, 1)",-100,-101.90435791015625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(-1, 0)",-1,-7.617431640625,"(0, 0)",Move accepted
"(0, 0)","(1, 0)",-1,-26.4697265625,"(1, 0)",Move accepted
"(1, 0)","(0, 1)",-100,-101.87890625,"(1, 0)",Attempted to move into a wall or beyond the maze’s boundaries
"(1, 0)","(1, 0)",-1,-7.515625,"(2, 0)",Move accepted
"(2, 0)","(0, 1)",-1,-26.0625,"(2, 1)",Move accepted
"(2, 1)","(1, 0)",-100,-100.25,"(2, 1)",Attempted to move into a wall or beyond the maze’s boundaries
"(2, 1)","(0, -1)",-1,-1,"(2, 0)",Move accepted
