current_state,action,reward,"q(s, a)",next_state,additional_observation
"[0, 0]","(-1, 0)",-100,-106.64961242675781,"[0, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[0, 0]","(1, 0)",-1,-26.59844970703125,"[1, 0]",Move accepted
"[1, 0]","(0, 1)",-100,-102.393798828125,"[1, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[1, 0]","(1, 0)",-1,-9.5751953125,"[2, 0]",Move accepted
"[2, 0]","(1, 0)",-1,-34.30078125,"[3, 0]",Move accepted
"[3, 0]","(0, 1)",-100,-133.203125,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(0, -1)",-100,-132.8125,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(0, -1)",-100,-131.25,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(0, -1)",-100,-125.0,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
"[3, 0]","(0, 1)",-100,-100,"[3, 0]",Attempted to move into a wall or beyond the maze’s boundaries
